0.009,0.007,0.3,-0.019,0.003,0.093,0.457,0.203,0.284,0,-0.491,0.003,0.645,0.001,0.36,-1
-0.001,0.008,0.6,0.761,0.002,-0.151,-0.206,-0.134,0.577,0.001,1.519,0.001,0.326,0.001,0.351,1
-0.001,-0.001,0.5,-0.53,0.001,-0.083,0.008,0.156,-0.524,0.001,0.287,0.001,-0.071,0.001,0.242,-1
0,-0.001,0.5,0.629,0.001,0.148,-0.052,0.128,0.269,0,-0.283,-0.001,0.319,0.001,-0.257,1
-0.009,-0.009,0.5,0.402,-0.001,-0.181,-0.182,0.093,-0.384,0.001,0.243,-0.009,0.234,-0.002,-0.426,1
0.004,-0.005,0,-0.556,0,0.098,-0.453,-0.046,0.754,0,-0.343,0.002,-0.546,-0.001,0.337,1
0.004,0.008,0.2,-0.015,0.001,0.088,0.322,0.064,-0.103,0,0.468,0.004,-0.118,0,0.222,-1
0.008,0.012,0.3,0.573,0.002,0.127,0.262,-0.076,1.354,0.001,0.751,0.007,0.674,0.002,0.305,1
-0.001,0.007,0.8,-0.11,0.002,-0.1,0.483,0.122,-0.894,0,-0.046,-0.003,-0.175,0.001,-0.193,1
0.005,0.004,0.7,-0.062,0.002,0.105,0.626,0.177,4.208,0,0.249,0.003,-0.352,0.001,0.155,-1
0,0.005,0.9,-0.276,0.002,0.069,-0.664,-0.051,-0.36,-0.001,-0.127,-0.001,0.385,0.001,-0.185,-1
-0.004,-0.004,0.9,0.627,0.001,-0.104,0.312,0.07,10.963,-0.001,-1.746,-0.006,0.455,-0.001,-0.331,-1
-0.011,-0.015,0.5,0.293,-0.002,-0.151,3.971,-0.325,-0.431,-0.001,-1.333,-0.008,0.047,-0.002,-0.518,1
-0.018,-0.029,0,0.416,-0.006,-0.252,-0.594,0.195,-0.701,0.001,1.199,-0.017,0.692,-0.006,-1.822,1
0.013,-0.005,0,-0.243,-0.001,0.254,-0.17,0.136,-0.485,0.001,0.281,0.012,-0.286,-0.002,-1.584,-1
0.002,0.015,0.3,-0.42,-0.001,0.118,0.23,0.147,0.155,0.001,0.253,0.005,0.066,0,2.892,1
-0.011,-0.009,0.3,1.293,-0.003,-0.241,4.258,0.674,15.155,0.002,3.265,-0.014,0.07,-0.003,-0.795,1
0.015,0.004,0.1,-0.174,0.001,0.263,-0.769,-0.093,-0.935,0.002,0.05,0.019,-0.404,0.002,2.311,1
0.006,0.021,0.4,-0.242,0.002,0.158,0.171,0.12,0.186,0.002,0.056,-0.002,0.493,0.001,-1.042,-1
0.006,0.012,0.5,0.052,0.003,0.143,-0.011,-0.106,3.339,0,-0.231,0.004,-0.486,0.002,12.639,1
-0.001,0.005,0.5,-0.425,0.002,-0.072,-0.445,0.066,0.046,0,-0.315,0,-0.155,0.001,0.783,-1
0.002,0.001,0.5,0.252,0.002,0.097,0.217,-0.075,-0.954,0,0.021,0.004,0.008,0.002,-0.443,1
-0.014,-0.011,0.6,0.598,-0.001,-0.142,-0.042,0.078,0.72,-0.009,-0.035,-0.018,1.541,-0.003,2.018,-1
0.006,-0.008,0.3,0.159,0,0.191,-0.452,-0.04,-0.233,0.002,0.028,0.002,0.843,-0.002,-1.232,-1
-0.009,-0.004,0.4,-0.001,-0.002,-0.16,0.449,-0.06,13.182,0.001,-0.386,-0.013,0.005,-0.004,-5.331,-1
-0.005,-0.014,0.2,0.132,-0.003,-0.216,0.532,-0.097,-0.799,0.001,0.127,-0.008,-0.144,-0.005,1.053,1
-0.01,-0.015,0.2,-0.145,-0.004,-0.236,0.908,0.206,0.894,0,-0.213,-0.009,-0.097,-0.006,0.463,1
0.014,0.004,0,0.077,0,0.332,0.3,-0.222,-0.865,0.001,0.036,0.015,0.002,-0.001,-0.317,1
0,0.014,0.5,-0.262,0,-0.184,-0.65,0.1,1.458,0.001,0,-0.002,-0.112,-0.001,0.412,1
0,0,0.4,0.266,0,0.285,4.238,-0.476,-0.39,-0.001,-0.053,-0.005,0.146,-0.002,0.334,1
0.009,0.009,0.5,-0.482,0.002,0.115,-0.808,0.175,3.389,-0.002,-0.244,0.009,-0.509,0,-0.123,-1
0.004,0.013,0.7,-0.477,0.002,0.054,-0.708,0.044,-0.589,-0.002,-0.133,0.009,-0.012,0.002,-0.139,1
-0.001,0.003,0.8,0.652,0.002,-0.084,0.968,0.082,0.862,0,0.285,-0.008,0.374,0,0.221,1
0.005,0.004,0.8,-0.092,0.002,0.084,0.285,0.098,-0.959,-0.001,-0.009,0.005,-0.353,0.001,-0.117,-1
0.001,0.006,1,-0.108,0.002,0.069,-0.37,-0.056,16.6,-0.001,0.163,-0.004,0.223,0,0.162,1
-0.014,-0.013,1,1.493,-0.001,-0.161,2.163,-0.188,-0.443,-0.002,-0.078,-0.021,1.651,-0.005,0.37,1
0.007,-0.007,0.5,-0.026,0,0.187,-0.662,0.078,0,-0.002,-0.085,0.003,0.056,-0.003,-0.285,1
0.016,0.023,0.7,-0.238,0.004,0.12,-0.247,0.055,13.898,-0.002,-1.377,0.018,-0.259,0.002,-0.296,1
0.003,0.019,1,-0.165,0.004,0.089,2.075,-0.159,-0.992,-0.001,-0.03,0.004,-0.355,0.002,-0.271,-1
0,0.003,1,-0.12,0.003,-0.072,-0.228,-0.146,5.333,-0.001,0.196,-0.004,0.139,0.001,0.423,-1
-0.001,-0.001,1,0.283,0.002,-0.1,-0.438,0.096,-0.816,-0.001,0,0.003,0.166,0.001,-0.346,1
-0.002,-0.002,1,0.885,0.001,-0.209,0.373,-0.12,0.571,-0.001,0.047,-0.013,0.785,-0.002,0.947,-1
0.004,0.002,0.9,-0.39,0.002,0.161,-0.544,0.062,9.182,-0.001,0.461,-0.003,-0.352,-0.002,0.315,1
-0.01,-0.006,1,0.691,-0.001,-0.235,0.97,-0.116,-0.946,-0.001,0.017,-0.017,1.138,-0.005,0.512,-1
0.003,-0.007,0.4,-0.506,0,0.152,-0.207,0.104,27,0,-0.465,-0.001,-0.484,-0.004,0.175,1
-0.017,-0.014,0.6,1.119,-0.004,-0.279,-0.144,-0.08,0.077,-0.002,0.938,-0.025,1.126,-0.009,0.316,-1
